Fecha,Último,Apertura,Máximo,Mínimo,Vol.,% var.,source_file
01.03.2019,"0,7080","0,7094","0,7123","0,7068","112,23K","-0,20%",AUD_USD.csv
28.02.2019,"0,7094","0,7139","0,7168","0,7089","115,74K","-0,62%",AUD_USD.csv
27.02.2019,"0,7138","0,7186","0,7200","0,7127","104,49K","-0,67%",AUD_USD.csv
26.02.2019,"0,7186","0,7167","0,7196","0,7141","95,00K","0,29%",AUD_USD.csv
25.02.2019,"0,7165","0,7126","0,7186","0,7121","112,55K","0,53%",AUD_USD.csv
22.02.2019,"0,7127","0,7091","0,7151","0,7082","118,78K","0,49%",AUD_USD.csv
21.02.2019,"0,7092","0,7164","0,7208","0,7070","123,98K","-0,99%",AUD_USD.csv
20.02.2019,"0,7163","0,7166","0,7184","0,7140","113,28K","0,00%",AUD_USD.csv
19.02.2019,"0,7163","0,7131","0,7175","0,7102","103,77K","0,46%",AUD_USD.csv
18.02.2019,"0,7130","0,7139","0,7162","0,7124","94,08K","-0,13%",AUD_USD.csv
15.02.2019,"0,7139","0,7106","0,7150","0,7078","103,08K","0,48%",AUD_USD.csv
14.02.2019,"0,7105","0,7089","0,7133","0,7072","111,73K","0,24%",AUD_USD.csv
13.02.2019,"0,7088","0,7092","0,7138","0,7085","104,68K","-0,07%",AUD_USD.csv
12.02.2019,"0,7093","0,7063","0,7104","0,7053","104,75K","0,48%",AUD_USD.csv
11.02.2019,"0,7059","0,7088","0,7110","0,7056","95,01K","-0,41%",AUD_USD.csv
08.02.2019,"0,7088","0,7101","0,7107","0,7060","104,23K","-0,15%",AUD_USD.csv
07.02.2019,"0,7099","0,7106","0,7118","0,7088","95,65K","-0,06%",AUD_USD.csv
06.02.2019,"0,7103","0,7234","0,7247","0,7103","109,51K","-1,81%",AUD_USD.csv
05.02.2019,"0,7234","0,7226","0,7265","0,7193","97,02K","0,14%",AUD_USD.csv
04.02.2019,"0,7224","0,7246","0,7255","0,7210","74,77K","-0,34%",AUD_USD.csv
01.02.2019,"0,7249","0,7276","0,7286","0,7235","106,97K","-0,32%",AUD_USD.csv
31.01.2019,"0,7272","0,7247","0,7297","0,7241","110,30K","0,36%",AUD_USD.csv
30.01.2019,"0,7246","0,7155","0,7275","0,7149","114,48K","1,30%",AUD_USD.csv
29.01.2019,"0,7153","0,7165","0,7178","0,7138","104,52K","-0,17%",AUD_USD.csv
28.01.2019,"0,7165","0,7186","0,7205","0,7160","107,89K","-0,24%",AUD_USD.csv
25.01.2019,"0,7182","0,7097","0,7186","0,7075","110,07K","1,24%",AUD_USD.csv
24.01.2019,"0,7094","0,7143","0,7168","0,7079","108,67K","-0,66%",AUD_USD.csv
23.01.2019,"0,7141","0,7124","0,7146","0,7116","103,45K","0,27%",AUD_USD.csv
22.01.2019,"0,7122","0,7160","0,7162","0,7114","100,02K","-0,50%",AUD_USD.csv
21.01.2019,"0,7158","0,7165","0,7189","0,7139","106,92K","-0,13%",AUD_USD.csv
18.01.2019,"0,7167","0,7193","0,7215","0,7161","105,43K","-0,33%",AUD_USD.csv
17.01.2019,"0,7191","0,7168","0,7222","0,7146","108,64K","0,35%",AUD_USD.csv
16.01.2019,"0,7166","0,7201","0,7214","0,7161",,"-0,47%",AUD_USD.csv
15.01.2019,"0,7200","0,7196","0,7227","0,7179",,"0,07%",AUD_USD.csv
14.01.2019,"0,7195","0,7205","0,7219","0,7175","4,84K","-0,28%",AUD_USD.csv
11.01.2019,"0,7215","0,7185","0,7236","0,7181",,"0,42%",AUD_USD.csv
10.01.2019,"0,7185","0,7171","0,7199","0,7145",,"0,21%",AUD_USD.csv
09.01.2019,"0,7170","0,7140","0,7195","0,7133",,"0,43%",AUD_USD.csv
08.01.2019,"0,7139","0,7149","0,7151","0,7115","10,32K","-0,11%",AUD_USD.csv
07.01.2019,"0,7147","0,7116","0,7151","0,7109","7,05K","0,49%",AUD_USD.csv
04.01.2019,"0,7112","0,7006","0,7125","0,6992","0,01K","1,53%",AUD_USD.csv
03.01.2019,"0,7005","0,6985","0,7020","0,6743","9,62K","0,30%",AUD_USD.csv
02.01.2019,"0,6984","0,7053","0,7055","0,6981","10,76K","-0,96%",AUD_USD.csv
01.01.2019,"0,7052","0,7048","0,7068","0,7045","7,75K","0,04%",AUD_USD.csv
31.12.2018,"0,7049","0,7051","0,7073","0,7031",,"0,11%",AUD_USD.csv
28.12.2018,"0,7041","0,7034","0,7071","0,7026",,"0,11%",AUD_USD.csv
27.12.2018,"0,7033","0,7067","0,7079","0,7016",,"-0,45%",AUD_USD.csv
26.12.2018,"0,7065","0,7039","0,7072","0,7031",,"0,40%",AUD_USD.csv
25.12.2018,"0,7037","0,7054","0,7071","0,7032",,"-0,28%",AUD_USD.csv
24.12.2018,"0,7057","0,7036","0,7071","0,7032",,"0,36%",AUD_USD.csv
21.12.2018,"0,7032","0,7111","0,7125","0,7031",,"-1,08%",AUD_USD.csv
20.12.2018,"0,7109","0,7109","0,7150","0,7085",,"0,03%",AUD_USD.csv
19.12.2018,"0,7107","0,7181","0,7201","0,7086",,"-1,02%",AUD_USD.csv
18.12.2018,"0,7180","0,7181","0,7205","0,7164",,"0,11%",AUD_USD.csv
17.12.2018,"0,7172","0,7182","0,7189","0,7167",,"-0,06%",AUD_USD.csv
14.12.2018,"0,7176","0,7229","0,7230","0,7150",,"-0,69%",AUD_USD.csv
13.12.2018,"0,7226","0,7220","0,7248","0,7211",,"0,10%",AUD_USD.csv
12.12.2018,"0,7219","0,7207","0,7240","0,7197",,"0,18%",AUD_USD.csv
11.12.2018,"0,7206","0,7190","0,7226","0,7183",,"0,24%",AUD_USD.csv
10.12.2018,"0,7189","0,7193","0,7229","0,7168",,"-0,14%",AUD_USD.csv
07.12.2018,"0,7199","0,7237","0,7243","0,7197",,"-0,50%",AUD_USD.csv
06.12.2018,"0,7235","0,7271","0,7275","0,7192",,"-0,45%",AUD_USD.csv
05.12.2018,"0,7268","0,7337","0,7357","0,7258",,"-0,94%",AUD_USD.csv
04.12.2018,"0,7337","0,7358","0,7394","0,7326",,"-0,24%",AUD_USD.csv
03.12.2018,"0,7355","0,7368","0,7394","0,7345",,"0,55%",AUD_USD.csv
30.11.2018,"0,7315","0,7319","0,7327","0,7283",,"-0,04%",AUD_USD.csv
29.11.2018,"0,7318","0,7305","0,7346","0,7293",,"0,19%",AUD_USD.csv
28.11.2018,"0,7304","0,7225","0,7329","0,7221",,"1,12%",AUD_USD.csv
27.11.2018,"0,7223","0,7221","0,7271","0,7198",,"0,04%",AUD_USD.csv
26.11.2018,"0,7220","0,7232","0,7278","0,7212",,"-0,19%",AUD_USD.csv
23.11.2018,"0,7234","0,7254","0,7259","0,7218",,"-0,28%",AUD_USD.csv
22.11.2018,"0,7254","0,7262","0,7269","0,7233",,"-0,10%",AUD_USD.csv
21.11.2018,"0,7261","0,7213","0,7279","0,7201",,"0,67%",AUD_USD.csv
20.11.2018,"0,7213","0,7294","0,7301","0,7211",,"-1,10%",AUD_USD.csv
19.11.2018,"0,7293","0,7326","0,7333","0,7276",,"-0,56%",AUD_USD.csv
16.11.2018,"0,7334","0,7277","0,7339","0,7249",,"0,80%",AUD_USD.csv
15.11.2018,"0,7276","0,7231","0,7300","0,7228",,"0,58%",AUD_USD.csv
14.11.2018,"0,7234","0,7218","0,7254","0,7186",,"0,24%",AUD_USD.csv
13.11.2018,"0,7217","0,7173","0,7225","0,7163",,"0,63%",AUD_USD.csv
12.11.2018,"0,7172","0,7224","0,7239","0,7171",,"-0,72%",AUD_USD.csv
09.11.2018,"0,7224","0,7255","0,7272","0,7218",,"-0,44%",AUD_USD.csv
08.11.2018,"0,7256","0,7280","0,7304","0,7246",,"-0,25%",AUD_USD.csv
07.11.2018,"0,7274","0,7248","0,7301","0,7212",,"0,39%",AUD_USD.csv
06.11.2018,"0,7246","0,7211","0,7248","0,7204",,"0,51%",AUD_USD.csv
05.11.2018,"0,7209","0,7200","0,7219","0,7181",,"0,17%",AUD_USD.csv
02.11.2018,"0,7197","0,7206","0,7260","0,7181",,"-0,11%",AUD_USD.csv
01.11.2018,"0,7205","0,7073","0,7214","0,7071",,"1,87%",AUD_USD.csv
31.10.2018,"0,7073","0,7106","0,7108","0,7067",,"-0,45%",AUD_USD.csv
30.10.2018,"0,7105","0,7057","0,7124","0,7053",,"0,71%",AUD_USD.csv
29.10.2018,"0,7055","0,7087","0,7110","0,7050",,"-0,55%",AUD_USD.csv
26.10.2018,"0,7094","0,7081","0,7106","0,7020",,"0,21%",AUD_USD.csv
25.10.2018,"0,7079","0,7059","0,7100","0,7056",,"0,30%",AUD_USD.csv
24.10.2018,"0,7058","0,7085","0,7107","0,7057",,"-0,37%",AUD_USD.csv
23.10.2018,"0,7084","0,7081","0,7092","0,7054",,"0,07%",AUD_USD.csv
22.10.2018,"0,7079","0,7111","0,7129","0,7074",,"-0,58%",AUD_USD.csv
19.10.2018,"0,7120","0,7099","0,7151","0,7089",,"0,30%",AUD_USD.csv
18.10.2018,"0,7099","0,7108","0,7153","0,7096",,"-0,13%",AUD_USD.csv
17.10.2018,"0,7108","0,7142","0,7161","0,7105",,"-0,45%",AUD_USD.csv
16.10.2018,"0,7140","0,7129","0,7153","0,7111",,"0,14%",AUD_USD.csv
15.10.2018,"0,7130","0,7113","0,7150","0,7098",,"0,18%",AUD_USD.csv
12.10.2018,"0,7117","0,7123","0,7141","0,7100",,"-0,08%",AUD_USD.csv
11.10.2018,"0,7123","0,7054","0,7131","0,7045",,"0,89%",AUD_USD.csv
10.10.2018,"0,7060","0,7103","0,7132","0,7042",,"-0,59%",AUD_USD.csv
09.10.2018,"0,7102","0,7079","0,7107","0,7053",,"0,37%",AUD_USD.csv
08.10.2018,"0,7076","0,7053","0,7082","0,7041",,"0,35%",AUD_USD.csv
05.10.2018,"0,7051","0,7074","0,7089","0,7041",,"-0,30%",AUD_USD.csv
04.10.2018,"0,7072","0,7103","0,7114","0,7064",,"-0,42%",AUD_USD.csv
03.10.2018,"0,7102","0,7189","0,7198","0,7101",,"-1,17%",AUD_USD.csv
02.10.2018,"0,7186","0,7225","0,7239","0,7161",,"-0,51%",AUD_USD.csv
01.10.2018,"0,7223","0,7232","0,7235","0,7205",,"-0,07%",AUD_USD.csv
28.09.2018,"0,7228","0,7208","0,7243","0,7200",,"0,31%",AUD_USD.csv
27.09.2018,"0,7206","0,7258","0,7271","0,7204",,"-0,69%",AUD_USD.csv
26.09.2018,"0,7256","0,7250","0,7315","0,7240",,"0,08%",AUD_USD.csv
25.09.2018,"0,7250","0,7252","0,7265","0,7235",,"-0,03%",AUD_USD.csv
24.09.2018,"0,7252","0,7272","0,7283","0,7247",,"-0,51%",AUD_USD.csv
21.09.2018,"0,7289","0,7292","0,7305","0,7262",,"0,00%",AUD_USD.csv
20.09.2018,"0,7289","0,7262","0,7294","0,7253",,"0,36%",AUD_USD.csv
19.09.2018,"0,7263","0,7218","0,7276","0,7212",,"0,62%",AUD_USD.csv
18.09.2018,"0,7218","0,7181","0,7225","0,7143",,"0,53%",AUD_USD.csv
17.09.2018,"0,7180","0,7153","0,7197","0,7141",,"0,42%",AUD_USD.csv
14.09.2018,"0,7150","0,7193","0,7218","0,7150",,"-0,58%",AUD_USD.csv
13.09.2018,"0,7192","0,7168","0,7230","0,7165",,"0,33%",AUD_USD.csv
12.09.2018,"0,7168","0,7125","0,7183","0,7092",,"0,65%",AUD_USD.csv
11.09.2018,"0,7122","0,7115","0,7129","0,7084",,"0,11%",AUD_USD.csv
10.09.2018,"0,7114","0,7115","0,7133","0,7096",,"0,11%",AUD_USD.csv
07.09.2018,"0,7106","0,7204","0,7207","0,7097",,"-1,32%",AUD_USD.csv
06.09.2018,"0,7201","0,7189","0,7212","0,7164",,"0,17%",AUD_USD.csv
05.09.2018,"0,7189","0,7177","0,7219","0,7143",,"0,17%",AUD_USD.csv
04.09.2018,"0,7177","0,7214","0,7236","0,7157",,"-0,47%",AUD_USD.csv
03.09.2018,"0,7211","0,7197","0,7225","0,7165",,"0,29%",AUD_USD.csv
31.08.2018,"0,7190","0,7265","0,7268","0,7175",,"-1,01%",AUD_USD.csv
30.08.2018,"0,7263","0,7311","0,7315","0,7248",,"-0,64%",AUD_USD.csv
29.08.2018,"0,7310","0,7338","0,7351","0,7276",,"-0,38%",AUD_USD.csv
28.08.2018,"0,7338","0,7350","0,7363","0,7320",,"-0,19%",AUD_USD.csv
27.08.2018,"0,7352","0,7319","0,7359","0,7308",,"0,37%",AUD_USD.csv
24.08.2018,"0,7325","0,7244","0,7345","0,7236",,"1,09%",AUD_USD.csv
23.08.2018,"0,7246","0,7349","0,7355","0,7240",,"-1,37%",AUD_USD.csv
22.08.2018,"0,7347","0,7370","0,7371","0,7332",,"-0,33%",AUD_USD.csv
21.08.2018,"0,7371","0,7341","0,7383","0,7332",,"0,42%",AUD_USD.csv
20.08.2018,"0,7340","0,7306","0,7344","0,7294",,"0,38%",AUD_USD.csv
17.08.2018,"0,7312","0,7261","0,7321","0,7253",,"0,70%",AUD_USD.csv
16.08.2018,"0,7261","0,7240","0,7288","0,7222",,"0,30%",AUD_USD.csv
15.08.2018,"0,7239","0,7247","0,7249","0,7202",,"-0,08%",AUD_USD.csv
14.08.2018,"0,7245","0,7270","0,7284","0,7222",,"-0,33%",AUD_USD.csv
13.08.2018,"0,7269","0,7289","0,7300","0,7248",,"-0,45%",AUD_USD.csv
10.08.2018,"0,7302","0,7372","0,7381","0,7279",,"-0,95%",AUD_USD.csv
09.08.2018,"0,7372","0,7435","0,7456","0,7371",,"-0,81%",AUD_USD.csv
08.08.2018,"0,7432","0,7420","0,7440","0,7382",,"0,15%",AUD_USD.csv
07.08.2018,"0,7421","0,7386","0,7440","0,7379",,"0,46%",AUD_USD.csv
06.08.2018,"0,7387","0,7398","0,7406","0,7372",,"-0,18%",AUD_USD.csv
03.08.2018,"0,7400","0,7359","0,7412","0,7346",,"0,54%",AUD_USD.csv
02.08.2018,"0,7360","0,7405","0,7413","0,7354",,"-0,59%",AUD_USD.csv
01.08.2018,"0,7404","0,7427","0,7430","0,7389",,"-0,34%",AUD_USD.csv
31.07.2018,"0,7429","0,7408","0,7442","0,7402",,"0,30%",AUD_USD.csv
30.07.2018,"0,7407","0,7390","0,7416","0,7387",,"0,08%",AUD_USD.csv
27.07.2018,"0,7401","0,7377","0,7416","0,7369",,"0,31%",AUD_USD.csv
26.07.2018,"0,7378","0,7456","0,7464","0,7370",,"-1,03%",AUD_USD.csv
25.07.2018,"0,7455","0,7424","0,7466","0,7391",,"0,46%",AUD_USD.csv
24.07.2018,"0,7421","0,7381","0,7435","0,7358",,"0,54%",AUD_USD.csv
23.07.2018,"0,7381","0,7405","0,7440","0,7371",,"-0,57%",AUD_USD.csv
20.07.2018,"0,7423","0,7358","0,7433","0,7319",,"0,87%",AUD_USD.csv
19.07.2018,"0,7359","0,7397","0,7442","0,7321",,"-0,53%",AUD_USD.csv
18.07.2018,"0,7398","0,7389","0,7408","0,7341",,"0,14%",AUD_USD.csv
17.07.2018,"0,7388","0,7420","0,7440","0,7376",,"-0,43%",AUD_USD.csv
16.07.2018,"0,7420","0,7409","0,7444","0,7406",,"-0,05%",AUD_USD.csv
13.07.2018,"0,7424","0,7408","0,7425","0,7366",,"0,20%",AUD_USD.csv
12.07.2018,"0,7409","0,7369","0,7421","0,7359",,"0,58%",AUD_USD.csv
11.07.2018,"0,7366","0,7459","0,7461","0,7362",,"-1,25%",AUD_USD.csv
10.07.2018,"0,7459","0,7466","0,7485","0,7428",,"-0,11%",AUD_USD.csv
09.07.2018,"0,7467","0,7425","0,7484","0,7424",,"0,46%",AUD_USD.csv
06.07.2018,"0,7433","0,7389","0,7447","0,7377",,"0,62%",AUD_USD.csv
05.07.2018,"0,7387","0,7380","0,7409","0,7360",,"0,07%",AUD_USD.csv
04.07.2018,"0,7382","0,7386","0,7427","0,7373",,"-0,05%",AUD_USD.csv
03.07.2018,"0,7386","0,7340","0,7405","0,7313",,"0,61%",AUD_USD.csv
02.07.2018,"0,7341","0,7389","0,7417","0,7310",,"-0,86%",AUD_USD.csv
29.06.2018,"0,7405","0,7353","0,7411","0,7336",,"0,68%",AUD_USD.csv
28.06.2018,"0,7355","0,7341","0,7365","0,7329",,"0,19%",AUD_USD.csv
27.06.2018,"0,7341","0,7393","0,7408","0,7324",,"-0,72%",AUD_USD.csv
26.06.2018,"0,7394","0,7411","0,7424","0,7379",,"-0,27%",AUD_USD.csv
25.06.2018,"0,7414","0,7442","0,7444","0,7394",,"-0,36%",AUD_USD.csv
22.06.2018,"0,7441","0,7379","0,7446","0,7373",,"0,81%",AUD_USD.csv
21.06.2018,"0,7381","0,7369","0,7396","0,7345",,"0,18%",AUD_USD.csv
20.06.2018,"0,7368","0,7381","0,7409","0,7365",,"-0,20%",AUD_USD.csv
19.06.2018,"0,7383","0,7426","0,7429","0,7347",,"-0,54%",AUD_USD.csv
18.06.2018,"0,7423","0,7457","0,7459","0,7413",,"-0,28%",AUD_USD.csv
15.06.2018,"0,7444","0,7482","0,7484","0,7440",,"-0,48%",AUD_USD.csv
14.06.2018,"0,7480","0,7579","0,7584","0,7474",,"-1,31%",AUD_USD.csv
13.06.2018,"0,7579","0,7572","0,7611","0,7530",,"0,08%",AUD_USD.csv
12.06.2018,"0,7573","0,7611","0,7625","0,7565",,"-0,50%",AUD_USD.csv
11.06.2018,"0,7611","0,7608","0,7623","0,7567",,"0,14%",AUD_USD.csv
08.06.2018,"0,7600","0,7624","0,7628","0,7559",,"-0,34%",AUD_USD.csv
07.06.2018,"0,7626","0,7667","0,7674","0,7611",,"-0,53%",AUD_USD.csv
